bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID7,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID12,bedroom_ID13,bedroom_ID14,bedroom_ID15,bedroom_ID16,bedroom_ID17,bedroom_ID18,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID22,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID26,bedroom_ID28,bedroom_ID29,bedroom_ID30,bedroom_ID31,bedroom_ID32,bedroom_ID33,bedroom_ID34,bedroom_ID35,bedroom_ID36,bedroom_ID37,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID41,bedroom_ID42,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID7,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID12,living_room_ID13,living_room_ID14,living_room_ID15,living_room_ID16,living_room_ID17,living_room_ID18,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID26,living_room_ID27,living_room_ID28,living_room_ID29,living_room_ID30,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID37,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID41,living_room_ID42,living_room_ID43
15.683,0.0,18.684,20.249,15.383,0.0,20.942,18.687,15.754,9.889,16.329,19.56,19.03,21.109,20.058,21.868,23.24,21.645,0.0,18.684,19.581,19.668,0.0,0.0,23.437,0.0,0.0,21.47,14.579,0.0,17.461,19.279,18.003,0.0,20.443,19.161,19.377,15.379,17.483,13.369,17.37,0.0,20.56,0.0,20.236,20.171,14.914,20.532,20.532,16.953,15.833,18.626,13.989,21.455,18.371,21.955,21.643,20.85,23.24,17.997,0.0,20.236,19.5,17.26,0.0,0.0,21.214,0.0,20.749,0.0,23.095,23.877,18.718,18.03,16.278,13.236,0.0,20.655,18.402,20.556,16.801,18.31,17.994,20.748,0.0
15.996,0.0,18.309,20.124,15.508,0.0,20.88,17.936,15.441,9.952,16.016,19.434,18.717,21.672,19.995,21.118,23.302,21.02,0.0,18.309,19.206,19.606,0.0,0.0,22.062,0.0,0.0,21.533,14.516,0.0,16.71,18.403,18.065,0.0,20.506,18.66,20.691,14.627,17.233,13.118,17.432,0.0,19.184,0.0,19.673,19.295,14.851,20.407,20.407,16.265,15.332,18.501,13.801,21.142,18.371,21.893,21.705,19.974,23.302,17.496,0.0,19.673,19.25,17.197,0.0,0.0,20.338,0.0,19.935,0.0,21.531,23.689,18.03,17.467,15.714,13.236,0.0,20.343,18.214,20.806,16.488,17.997,17.054,20.748,0.0
16.059,0.0,18.058,19.624,15.634,0.0,20.88,17.248,15.19,10.077,15.89,18.621,18.592,21.297,19.808,20.68,23.24,20.457,0.0,18.058,18.893,19.606,0.0,0.0,21.436,0.0,0.0,21.032,14.454,0.0,16.271,17.714,18.315,0.0,20.443,17.909,19.878,14.125,16.982,13.056,17.432,0.0,18.496,0.0,19.298,18.669,14.851,20.407,20.407,15.827,15.019,17.813,13.739,19.703,18.245,22.018,21.768,19.411,23.24,17.183,0.0,19.298,19.063,17.135,0.0,0.0,19.776,0.0,19.434,0.0,20.405,23.564,17.467,17.029,15.339,13.174,0.0,20.155,17.776,20.619,16.3,17.684,16.553,21.249,0.0
15.746,0.0,17.808,19.186,15.696,0.0,20.88,16.872,14.94,10.015,15.702,17.995,18.404,21.297,19.495,20.367,23.678,19.957,0.0,17.808,18.643,19.606,0.0,0.0,20.936,0.0,0.0,19.655,14.516,0.0,15.833,17.214,18.19,0.0,20.256,17.221,18.814,13.812,16.795,12.805,17.37,0.0,18.058,0.0,18.922,18.231,14.851,20.845,20.845,15.451,14.769,18.188,13.676,18.827,18.245,22.081,21.83,18.91,23.678,16.933,0.0,18.922,18.875,17.135,0.0,0.0,19.275,0.0,18.996,0.0,19.654,23.251,17.029,16.779,14.838,13.174,0.0,19.905,17.275,19.993,16.175,17.496,16.052,21.561,0.0
15.621,0.0,17.62,18.748,15.696,0.0,21.067,16.497,14.752,10.077,15.577,17.557,18.404,21.485,19.682,19.992,23.928,19.519,0.0,17.62,18.455,19.668,0.0,0.0,20.498,0.0,0.0,18.841,14.328,0.0,15.52,16.587,18.253,0.0,20.005,16.532,20.816,13.561,16.607,12.68,17.37,0.0,17.557,0.0,18.546,17.793,14.726,21.158,21.158,15.201,14.581,18.752,13.551,18.201,18.183,22.143,22.894,18.597,23.928,16.682,0.0,18.546,18.688,17.072,0.0,0.0,18.9,0.0,18.62,0.0,19.028,22.689,16.779,16.466,14.525,13.174,0.0,19.717,16.9,20.869,16.112,17.308,15.613,21.749,0.0
15.495,0.0,18.184,18.372,15.634,0.0,21.255,15.996,14.501,10.015,15.452,17.182,18.717,21.735,19.995,19.616,24.24,19.144,0.0,18.184,19.018,19.606,0.0,0.0,22.062,0.0,0.0,18.153,14.203,0.0,16.209,16.775,18.253,0.0,19.88,16.031,19.565,19.451,19.236,13.181,16.807,0.0,17.182,0.0,20.737,17.48,14.726,21.533,21.533,15.138,14.331,19.19,13.488,17.7,18.183,22.268,23.019,18.284,24.24,16.557,0.0,20.737,19.188,17.072,0.0,0.0,19.088,0.0,19.309,0.0,18.465,22.063,16.466,16.528,14.4,13.174,0.0,20.468,16.586,20.306,16.112,17.934,15.989,22.124,0.0
15.808,0.0,18.997,19.686,16.198,0.0,21.442,15.996,14.438,9.952,16.642,18.746,18.968,21.672,19.995,21.18,24.365,18.768,0.0,18.997,18.831,19.668,0.0,0.0,24.125,0.0,0.0,17.651,14.328,0.0,17.962,17.652,18.19,0.0,19.755,16.031,19.002,17.447,17.671,14.871,17.12,0.0,19.747,0.0,21.425,17.98,15.665,21.721,21.721,14.637,14.205,19.565,14.177,20.391,17.995,21.455,22.518,19.849,24.365,16.745,0.0,21.425,19.188,17.009,0.0,0.0,20.088,0.0,20.06,0.0,20.343,23.314,16.528,17.529,14.963,13.174,0.0,20.468,16.461,19.743,16.425,17.997,18.62,22.624,0.0
16.998,0.0,18.621,20.75,15.822,0.0,21.568,15.746,14.877,9.889,17.268,19.247,18.404,21.922,20.058,21.993,24.053,18.455,0.0,18.621,19.206,19.856,0.0,0.0,25.25,0.0,0.0,20.281,14.579,0.0,17.336,18.653,18.128,0.0,20.506,17.346,21.692,17.51,17.358,14.684,17.745,0.0,16.493,0.0,20.236,19.107,15.289,22.096,22.096,14.512,14.456,19.315,14.929,21.393,18.058,20.266,22.456,20.787,24.053,17.058,0.0,20.236,19.438,17.009,0.0,0.0,20.714,0.0,19.872,0.0,22.032,23.564,17.529,17.529,15.84,13.174,0.0,20.655,17.15,20.619,16.551,18.059,18.933,22.124,0.0
0.0,0.0,18.121,20.187,15.634,0.0,21.693,15.746,16.005,9.889,16.141,19.497,18.217,21.672,0.0,22.619,23.99,18.33,0.0,18.121,19.018,20.106,0.0,0.0,25.937,0.0,0.0,21.157,14.704,0.0,16.585,19.342,18.065,0.0,20.568,16.657,20.191,17.76,17.108,14.496,17.871,0.0,0.0,0.0,19.673,18.731,15.164,22.284,22.284,14.512,17.023,19.127,14.428,21.705,18.058,21.33,22.456,21.538,23.99,17.12,0.0,19.673,19.375,16.884,0.0,0.0,21.276,0.0,19.872,0.0,21.844,24.252,17.529,17.091,16.466,13.236,0.0,20.718,16.774,20.306,16.676,18.059,18.119,21.749,0.0
0.0,0.0,19.372,19.686,15.508,0.0,21.693,15.621,16.255,9.827,15.702,19.81,18.091,21.61,0.0,22.806,23.74,18.08,0.0,19.372,18.831,20.357,0.0,0.0,25.875,0.0,0.0,21.846,14.83,0.0,16.146,19.78,18.003,0.0,20.693,16.219,19.753,16.946,16.982,14.058,17.808,0.0,0.0,0.0,20.987,18.293,15.102,22.221,22.221,14.449,17.523,18.877,14.115,21.58,17.995,21.643,22.143,21.288,23.74,17.246,0.0,20.987,19.188,17.009,0.0,0.0,21.464,0.0,19.872,0.0,21.219,24.002,17.091,16.779,16.653,13.236,0.0,20.781,16.461,20.056,16.676,17.997,18.182,21.499,0.0
